id,trigger,conditions,script,text,options,notes
convergence_festival_flavor_debug,AddBarEvents,"$market.policy_convergence_festival
$global.isDevMode",FireBest ConvergenceFestivalStart,"酒吧里装饰着五彩缤纷的横幅和全息显示屏，庆祝着汇聚节。顾客们欢呼雀跃，沉浸在节日氛围中。",,The flavor text without the actual event

convergence_festival_start_debug,ConvergenceFestivalStart,"!$global.ltv_convergence_festival_cooldown
$global.isDevMode",,"你的目光锁定在人群中一位节日表演者身上。
他显得紧张而疲惫，从自己的摊位紧张地扫视着人群。",ConvergenceFestivalApproach:接近那位汇聚节表演者,

convergence_festival_approach,DialogOptionSelected,$option == ConvergenceFestivalApproach,"CreateRandomNPC player market $convergence_performer male
DisplayNPC market $convergence_performer true
$global.ltv_convergence_festival_cooldown = true 60","你走向那位表演者，他沉默地盯着自己的酒杯，回避着你的目光。",ConvergenceFestivalSmallTalk:"寒暄几句",

convergence_festival_small_talk,DialogOptionSelected,$option == ConvergenceFestivalSmallTalk,,"你问他是不是节日里的表演者。
他没有回答，只是低低地咕哝了一声，继续盯着他的酒杯。","ConvergenceFestivalCompliment:""在你的努力下，殖民地比以往任何时候都更加团结。你的汗水没有白费。""
ConvergenceFestivalCoach:""这台机器不能有一个齿轮出现故障。坚持下去，整个节日就能撑住。"""

convergence_festival_compliment,DialogOptionSelected,$option == ConvergenceFestivalCompliment,,"表演者终于看向你，眼中充满了无声的愤怒。“汗水并非来自节日本身，”他低声说道。“而是来自保安为了确保我参加早晨的准备工作而撞开我家门时的那一惊吓。”","ConvergenceFestivalFinalAdvice:""选择参加活动是自愿的，但一旦加入，就必须履行你的职责""
ConvergenceFestivalApologize:代表当局道歉并离开",

convergence_festival_coach,DialogOptionSelected,$option == ConvergenceFestivalCoach,,"表演者终于看向你，眼中充满了无声的沮丧。“其实并不累，”他用紧张而焦虑的声音说道。“保安已经帮助我为训练变得精力充沛且有干劲了。”","ConvergenceFestivalFinalAdvice:提醒他选择加入就意味着必须参与
ConvergenceFestivalClarification:问他那是什么意思",

convergence_festival_clarification,DialogOptionSelected,$option == ConvergenceFestivalClarification,,"他眯起眼睛，声音紧绷。“守卫几乎把我拖了出去。他们确保我为训练做好了准备。我几乎没有喘息的工夫。”","ConvergenceFestivalFinalAdvice:提醒他选择加入就意味着必须参与
ConvergenceFestivalApologize:代表当局道歉并离开",

convergence_festival_final_advice,DialogOptionSelected,$option == ConvergenceFestivalFinalAdvice,"AdjustRepNPC market $convergence_performer -5 HOSTILE
ConvergenceFestivalCMD kill_music","你平静地告诉他：“选择参加活动是自愿的，但一旦加入，就必须履行你的职责。否则，整个节日就会分崩离析。”",ConvergenceFestivalDaze:继续,

convergence_festival_daze,DialogOptionSelected,$option == ConvergenceFestivalDaze,"ConvergenceFestivalCMD start_daze","表演者猛地呼出一口气，目光投向广场上空的全息横幅。酒吧之外，鼓声与仍在排练的数千人节奏同步，人群有节奏地呼应着，仿佛节日已成为一个有生命的有机体。你暂时离开了他，感受着它的脉搏；灯光、横幅和欢呼声涌入酒吧，在你的脑海中，这个节日仿佛拥有了自己的生命。",ConvergenceFestivalLeave:回过神来,

convergence_festival_apologize,DialogOptionSelected,$option == ConvergenceFestivalApologize,,"你轻声道歉并转身走开。表演者看着你离开，一边啜饮着酒，一边低声咒骂了一句。",barHRE_goToNormalBar:继续,

convergence_festival_leave,DialogOptionSelected,$option == ConvergenceFestivalLeave,ConvergenceFestivalCMD end_daze,"突然间，节日的欢呼声安静下来，你发现自己又回到了酒吧。",barHRE_goToNormalBar:继续,
